key expression,other expressions,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
-,""" """,,,,,,,,
map,mapping,onboard map,mapped,,,,,,
perception,perceived,percepted,,,,,,,
distance,distancing,,,,,,,,
too close,too closely,closely,,,,,,,
lane marking,lane marker,,,,,,,,
mishandle,mishandling,,,,,,,,
sensor,sensors,sensing,camera,,,,,,
localization,positioning,position,localizer,,,,,,
detection,detecting,detect,detects,,,,,,
traffic light,traffic signal,green light,red light,,,,,,
re-center,lane-keeping,lane keeping,lane placement,,,,,,
stop line,stop sign,,,,,,,,
predict,predicted,prediction,predicted the behavior,behaviour prediction,,,,,
motion plan,motion planning,path planning,,,,,,,
plan,planning,planned,planner,,,,,,
identify,identified,,,,,,,,
yield,yielding,yields,,,,,,,
gap,gaps,,,,,,,,
trajectory,trajectories,trajectory calculation issue,,,,,,,
initiate,initiated,initiation,,,,,,,
behavior,lane change,bypass,take-over,lane-switching,lane-keeping,overtake,overtaking,cut-in,
improper,inappropriate,appropriate,inaccurate,incorrect,late,illegal,adequately,inadequately,
discomfort,inappropriate steering,reduce speed,,,,,,,
too slow,overly slow,braking with too much or too little,overly conservative,,,,,,
stranded,blockage,,,,,,,,
intervention,intervened,cross,crossed,immediately,stopped,pedestrian on the road,forced,avoid,aggressive
crash,contact,accident,rear-ended,,,,,,
ODD,yellow lane,,,,,,,,
hardware issue,hardware irregularity,,,,,,,,
software issue,system software failure,,,,,,,,